ORIGIN,TE_ORIGIN
MSO,0.4418604651162791
PLN,0.45188284518828453
MGM,0.46216216216216216
VPS,0.48274672187715667
ROA,0.387434554973822
AZO,0.30454545454545456
GNV,0.40023474178403756
LAS,0.6060893457370395
BHM,0.4610898853810577
SYR,0.45315203955500616
ECP,0.47572815533980584
MEM,0.460689847786622
GRK,0.3927855711422846
AMA,0.42035398230088494
GRI,0.45791245791245794
VLD,0.2540322580645161
MLB,0.3817701453104359
CMI,0.336986301369863
KOA,0.43534151957022255
SUX,0.4742268041237113
MEI,0.47297297297297297
TXK,0.4311377245508982
MOT,0.3968253968253968
LAX,0.4905240567451989
DHN,0.3473684210526316
OMA,0.42927536231884056
TVC,0.4098910310142498
LIH,0.4336478618751255
PIB,0.4166666666666667
HLN,0.2590529247910863
MYR,0.42311886586695746
CHO,0.3628536285362854
ROC,0.43047337278106507
JFK,0.5504189044038668
LCH,0.3684210526315789
SDF,0.4156178489702517
MFE,0.4602649006622517
ELM,0.42696629213483145
PDX,0.40555426716141
YUM,0.3761904761904762
CSG,0.3519163763066202
BOS,0.5423509872670235
JLN,0.3368421052631579
SAF,0.4448336252189142
PHX,0.511132556696767
FSM,0.3475409836065574
BRW,0.6854838709677419
APN,0.5
CDC,0.2222222222222222
BTM,0.14482758620689656
MSP,0.43103770312458306
HSV,0.4168403501458941
TWF,0.11578947368421053
LIT,0.4470620842572062
BQK,0.39436619718309857
MHT,0.44244244244244246
INL,0.32075471698113206
SAV,0.4941443803530851
RDD,0.37723214285714285
HOU,0.5190010857763301
MCI,0.4849162725297201
RHI,0.2727272727272727
MQT,0.4187192118226601
TUS,0.4192391953794065
MTJ,0.4947033898305085
TYS,0.42197152833736234
BLI,0.4450474898236092
DAY,0.3581151832460733
LAN,0.3451086956521739
SBP,0.49017038007863695
OGG,0.499464303107042
LBE,0.6138613861386139
LEX,0.38181818181818183
PSP,0.4383794274623969
SHV,0.4869281045751634
CMH,0.4155926809864757
CRW,0.43796296296296294
DLH,0.3401015228426396
MRY,0.4354575163398693
CID,0.4094067343666489
TTN,0.5696517412935324
TLH,0.35664335664335667
RDM,0.31971153846153844
GTF,0.3194029850746269
GTR,0.30131004366812225
JAX,0.5048314365471334
MFR,0.3215686274509804
BUR,0.47236999240039085
SBA,0.4508695652173913
GUC,0.4780701754385965
FLG,0.3211845102505695
PBI,0.5642834241744149
HDN,0.507177033492823
ALB,0.4342873020283412
RKS,0.15625
SIT,0.3253588516746411
MCO,0.6175949203893508
BTV,0.3972777541471714
PSE,0.6292134831460674
TRI,0.30248618784530384
AGS,0.4594142259414226
EKO,0.1927710843373494
YAK,0.40707964601769914
LFT,0.4250281848928974
EUG,0.4080145719489982
SFO,0.49406170469259275
LAW,0.3923611111111111
OAJ,0.3887147335423197
BTR,0.40580847723704866
SUN,0.3531746031746032
LAR,0.4083769633507853
SMX,0.7169811320754716
MVY,0.6132264529058116
MLU,0.39243027888446214
RIC,0.46363006581226185
ISP,0.55078125
GCC,0.34408602150537637
SWF,0.6105263157894737
SMF,0.4614431529883769
GST,0.30434782608695654
IND,0.42549877623674254
LBB,0.44535840188014103
WRG,0.4019138755980861
JAN,0.3572460279248917
SCC,0.23636363636363636
CLL,0.4049079754601227
ASE,0.6158716758125792
DVL,0.3791469194312796
EVV,0.3333333333333333
STL,0.5296678338222769
SAT,0.46159497183903353
GEG,0.39975575005088543
MBS,0.389010989010989
AKN,0.4473684210526316
CPR,0.42924528301886794
LRD,0.39097744360902253
RDU,0.48158493689219944
STT,0.5261499684940139
BQN,0.7141744548286605
GPT,0.29987293519695046
FAY,0.4092071611253197
ORD,0.5057875202969149
SNA,0.5005134524543027
CNY,0.3742690058479532
LGA,0.47963766605393315
ATW,0.4028892455858748
CLE,0.4736247174076865
SEA,0.44641002961196785
SJC,0.4507734303912648
BJI,0.30851063829787234
CLT,0.5226247416147382
PUB,0.2857142857142857
SPS,0.3672566371681416
BFL,0.42370892018779344
OME,0.3860759493670886
PIH,0.09803921568627451
VEL,0.45977011494252873
SLC,0.4466662757286108
BGR,0.38291605301914583
KTN,0.3664516129032258
ELP,0.45281597287624786
EGE,0.5417439703153989
LWS,0.4697674418604651
ABI,0.4025
BNA,0.5090203746924872
FAR,0.4173602853745541
CHS,0.47073631214600375
AVL,0.4997039668442866
MSN,0.39646464646464646
ABY,0.3333333333333333
BMI,0.38645418326693226
RSW,0.4955387783115992
SJT,0.3943217665615142
BOI,0.3764686684073107
ICT,0.41110217216411904
EYW,0.5289335246293639
CRP,0.3323615160349854
GRR,0.4266490183101699
CAK,0.40774487471526194
MAF,0.3786365610073817
PBG,0.7380952380952381
BIS,0.425
DCA,0.44784254698047804
EWN,0.3548387096774194
OTH,0.4634146341463415
LGB,0.5120590352771778
GSO,0.35589303400462197
ROW,0.39147286821705424
PWM,0.4558699915942841
HYS,0.47474747474747475
TPA,0.515530332080681
BZN,0.4822382898459604
DLG,0.39285714285714285
GJT,0.4281115879828326
BIL,0.35812964930924546
PPG,0.5208333333333334
ABQ,0.4848082791561629
ACT,0.48985507246376814
ABR,0.2698412698412698
COU,0.40594059405940597
CAE,0.3649754500818331
BPT,0.3768844221105528
MDW,0.5977954608787194
GFK,0.3519061583577713
HYA,0.6144578313253012
MSY,0.519277321839759
AEX,0.4349442379182156
GCK,0.35678391959798994
PVD,0.4598571737719108
PIT,0.40934155043788517
DAL,0.5560140608283662
MKE,0.4414833438089252
CIU,0.42424242424242425
MOB,0.4113573407202216
HIB,0.27692307692307694
ERI,0.3466666666666667
PIA,0.4253285543608124
SAN,0.494705348438498
ONT,0.4777863379558295
DAB,0.42826321467098166
BRO,0.3862433862433862
BWI,0.6190671031096563
FAI,0.38192090395480227
ACY,0.48464912280701755
MHK,0.26666666666666666
WYS,0.2391304347826087
BGM,0.32653061224489793
FNT,0.4322250639386189
PHL,0.4862264975951028
ACK,0.5795981452859351
GGG,0.38613861386138615
SGU,0.36916548797736914
ORF,0.4681642368342755
XNA,0.4231759656652361
FSD,0.4470404984423676
ADQ,0.3105022831050228
GSP,0.3641434262948207
EWR,0.5627868083457405
MLI,0.36795994993742176
ACV,0.41188118811881186
JAC,0.534419337887546
PNS,0.5034889962426194
STX,0.48169014084507045
ILM,0.3863013698630137
IAH,0.5502231011053645
ITH,0.3089005235602094
ANC,0.3887958310068863
OAK,0.5294454337318748
SBN,0.41551939924906134
OTZ,0.21678321678321677
SPI,0.43137254901960786
HRL,0.35777998017839446
DRO,0.42771684945164506
RAP,0.38696701528559935
LSE,0.31007751937984496
COD,0.5
BRD,0.3063583815028902
MIA,0.5861141011840689
RST,0.3489583333333333
GUM,0.45454545454545453
JNU,0.32978723404255317
AUS,0.5205409867293161
DEN,0.6079062520409401
TUL,0.3921285802596332
IAD,0.46268184693232134
SJU,0.5916109322103873
ORH,0.5555555555555556
SCE,0.4010840108401084
FCA,0.40651162790697676
ALO,0.48148148148148145
PSG,0.35714285714285715
DSM,0.4522058823529412
COS,0.46427586206896554
BUF,0.4858378056052475
DFW,0.5601264564361554
DIK,0.39080459770114945
ADK,0.42857142857142855
GRB,0.33242753623188404
FAT,0.44734473447344736
CDV,0.3991228070175439
ITO,0.36807200378967314
PSC,0.3194444444444444
IDA,0.4118316268486917
FLL,0.6506137061029662
HPN,0.5015197568389058
CWA,0.36328125
AVP,0.41260744985673353
IMT,0.4029126213592233
LNK,0.41832669322709165
CMX,0.5299145299145299
BET,0.6370370370370371
ESC,0.3564356435643564
ABE,0.4161490683229814
DTW,0.4606333708849668
BDL,0.4874400225797347
FWA,0.43781942078364566
ATL,0.5211089171195414
SGF,0.45535714285714285
TYR,0.4577922077922078
HNL,0.48707644986853205
RNO,0.5077688004972032
SRQ,0.5066451872734595
CHA,0.3988538681948424
OKC,0.44177137603432426
MDT,0.4101508916323731
JMS,0.3333333333333333
CVG,0.4466710831401126
